order_id,order_date,product_id,store_id,customer_id,quantity,unit_price,discount,revenue,cost,profit
0RD00002239,12/19/2024,P0137,S047,C047113,2,12.34,0,24.68,16.8,7.88
0RD00002273,12/25/2024,P0065,S031,C034725,5,4.91,0,24.55,14.54,10.01
0RD00002313,12/23/2024,P0066,S094,C039279,1,6.75,0,6.75,3.64,3.11
0RD00002332,12/14/2024,P0110,S094,C009956,2,9.75,0,19.5,10.83,8.67
0RD00002345,12/3/2024,P0050,S035,C048194,1,5.82,0,5.82,3.8,2.02
0RD00002409,12/31/2024,P0181,S056,C031833,3,8.23,0.2,19.75,13.54,6.21
0RD00002420,12/6/2024,P0183,S001,C037019,3,12.49,0.15,31.85,17.84,14.01
0RD00002436,12/17/2024,P0170,S064,C020784,5,6.95,0,34.75,21.35,13.4
0RD00002444,12/10/2024,P0089,S098,C037023,4,9.74,0.1,35.06,18.95,16.11
0RD00002452,12/27/2024,P0019,S041,C042056,4,3.06,0.2,9.79,5.65,4.15
0RD00002507,12/28/2024,P0005,S077,C025882,2,3.61,0.1,6.5,3.7,2.79
0RD00002531,12/29/2024,P0053,S023,C007757,4,3.3,0.1,11.88,6.68,5.2
0RD00002546,12/4/2024,P0069,S012,C003418,2,7.43,0,14.86,9.56,5.3
0RD00002552,12/18/2024,P0076,S006,C021093,4,6.25,0,25,13.72,11.28
0RD00002561,12/20/2024,P0051,S074,C031311,5,6.94,0,34.7,19.3,15.4
0RD00002609,12/18/2024,P0198,S080,C040090,1,12.66,0,12.66,6.89,5.77
0RD00002643,12/19/2024,P0150,S034,C008231,5,6.23,0,31.15,18.72,12.43
0RD00002666,12/6/2024,P0033,S097,C003105,1,13.68,0.1,12.31,8.14,4.17
0RD00002676,12/15/2024,P0127,S093,C000185,4,13.7,0,54.8,37.61,17.19
0RD00002687,12/25/2024,P0027,S083,C031008,1,5.44,0,5.44,3.33,2.11
0RD00002691,12/4/2024,P0164,S095,C010973,5,3.9,0,19.5,12.41,7.09
0RD00002693,12/8/2024,P0166,S055,C017267,3,9.02,0.2,21.65,11.32,10.33
0RD00002715,12/23/2024,P0037,S068,C019271,2,5.05,0,10.1,5.5,4.6
0RD00002735,12/21/2024,P0025,S022,C028600,3,13.45,0,40.35,23.86,16.49
0RD00002749,12/11/2024,P0119,S081,C041972,4,13.6,0,54.4,29.49,24.91
0RD00002765,12/18/2024,P0192,S016,C035630,5,3.3,0,16.5,10.71,5.79
0RD00002768,12/26/2024,P0017,S053,C042271,3,3.29,0.1,8.88,5.61,3.27
0RD00002788,12/23/2024,P0077,S067,C010553,2,5.19,0.15,8.82,5.87,2.95
0RD00002807,12/21/2024,P0159,S028,C002082,5,10.55,0.2,42.2,28.55,13.65
0RD00002853,12/27/2024,P0070,S001,C048323,2,13.93,0,27.86,17.33,10.53
0RD00002872,12/8/2024,P0156,S047,C016218,3,11.27,0.2,27.05,15.38,11.66
0RD00002918,12/29/2024,P0163,S094,C028052,2,13.91,0,27.82,19.13,8.69
0RD00002998,12/15/2024,P0025,S094,C043127,3,6.1,0,18.3,9.88,8.42
0RD00003038,12/26/2024,P0152,S029,C002912,2,5.17,0.15,8.79,5.63,3.16
0RD00003045,12/25/2024,P0091,S095,C027730,5,10.36,0.15,44.03,24.07,19.96
0RD00003051,12/10/2024,P0197,S080,C046988,2,10.62,0.1,19.12,9.97,9.14
0RD00003084,12/20/2024,P0145,S059,C012794,2,14.56,0,29.12,20.13,8.99
0RD00003097,12/15/2024,P0034,S066,C045307,2,6.33,0,12.66,8.24,4.42
0RD00003109,12/15/2024,P0014,S092,C038461,4,5.09,0,20.36,13.61,6.75
0RD00003113,12/28/2024,P0105,S022,C003816,2,8.15,0,16.3,8.48,7.82
0RD00003145,12/25/2024,P0180,S011,C022805,5,13.32,0,66.6,40.85,25.75
0RD00003211,12/11/2024,P0081,S038,C043396,1,14.58,0,14.58,7.93,6.65
0RD00003236,12/17/2024,P0171,S029,C040560,5,5.34,0.2,21.36,12.04,9.32
0RD00003268,12/15/2024,P0197,S074,C017944,1,6.48,0,6.48,4.16,2.32
0RD00003340,12/10/2024,P0000,S043,C004915,3,8.64,0,25.92,14.55,11.37
0RD00003341,12/2/2024,P0083,S057,C017831,4,14.81,0,59.24,36.12,23.12
0RD00003343,12/15/2024,P0124,S004,C021561,5,8.35,0,41.75,22.15,19.6
0RD00003367,12/31/2024,P0137,S068,C010047,1,14.88,0,14.88,7.83,7.05
0RD00003368,12/27/2024,P0179,S087,C010561,4,4.33,0.1,15.59,8.14,7.45
0RD00003400,12/29/2024,P0040,S044,C026998,1,12.3,0.1,11.07,5.61,5.46
0RD00003426,12/6/2024,P0158,S010,C031258,4,5.91,0,23.64,11.97,11.67
0RD00003428,12/10/2024,P0094,S076,C038587,1,14.51,0,14.51,7.74,6.77
0RD00003465,12/27/2024,P0017,S008,C018562,3,13.38,0,40.14,20.94,19.2
0RD00003540,12/25/2024,P0100,S095,C029004,4,7.22,0,28.88,17.64,11.24
0RD00003549,12/13/2024,P0041,S011,C027163,3,12.6,0.2,30.24,18.85,11.39
0RD00003564,12/16/2024,P0084,S096,C013862,4,4.58,0.15,15.57,8.75,6.83
0RD00003584,12/11/2024,P0076,S016,C013995,1,8.78,0.2,7.02,4.6,2.42
0RD00003592,12/10/2024,P0054,S092,C014553,1,6.31,0.1,5.68,3.83,1.84
0RD00003595,12/13/2024,P0170,S012,C017798,5,7.38,0.1,33.21,23.18,10.03
0RD00003608,12/15/2024,P0179,S014,C026006,5,4.57,0,22.85,15.05,7.8
0RD00003622,12/14/2024,P0160,S031,C011344,3,5.26,0,15.78,10.95,4.83
0RD00003651,12/28/2024,P0047,S048,C028135,5,7.38,0,36.9,24.32,12.58
0RD00003722,12/28/2024,P0115,S038,C011609,2,4.11,0.2,6.58,4.13,2.44
0RD00003732,12/6/2024,P0125,S075,C048423,1,4.05,0,4.05,2.37,1.68
0RD00003792,12/30/2024,P0020,S046,C033741,3,3.06,0,9.18,5.11,4.07
0RD00003796,12/7/2024,P0129,S065,C028640,3,3.86,0.2,9.26,4.7,4.56
0RD00003840,12/6/2024,P0026,S016,C018390,5,4.8,0,24,15.6,8.4
0RD00003863,12/8/2024,P0097,S002,C011241,4,8.26,0.15,28.08,17.8,10.29
0RD00003928,12/15/2024,P0184,S058,C022386,3,7.13,0,21.39,11.75,9.64
0RD00003941,12/11/2024,P0168,S093,C033292,3,14.29,0,42.87,23.51,19.36
0RD00003942,12/6/2024,P0003,S016,C002350,4,11.48,0,45.92,31.22,14.7
0RD00003968,12/13/2024,P0164,S089,C043114,5,11.8,0,59,37.97,21.03
0RD00003971,12/21/2024,P0138,S100,C044695,2,7.37,0.2,11.79,6.81,4.98
0RD00004032,12/27/2024,P0093,S095,C002119,2,3.52,0.15,5.98,3.63,2.35
0RD00004110,12/10/2024,P0195,S032,C046281,2,8.58,0,17.16,10.23,6.93
0RD00004143,12/11/2024,P0160,S076,C031883,4,11.55,0,46.2,30.6,15.6
0RD00004161,12/20/2024,P0134,S032,C032569,3,13.87,0.1,37.45,23.17,14.28
0RD00004163,12/20/2024,P0151,S040,C038743,3,12.19,0,36.57,21.04,15.53
0RD00004168,12/30/2024,P0139,S035,C014796,1,5.89,0,5.89,3.44,2.45
0RD00004186,12/30/2024,P0082,S065,C027335,2,10.14,0,20.28,10.34,9.94
0RD00004220,12/2/2024,P0158,S017,C014174,1,9.98,0.1,8.98,6.17,2.82
0RD00004248,12/31/2024,P0033,S077,C001828,5,3.26,0,16.3,10.55,5.75
0RD00004257,12/13/2024,P0059,S053,C048845,5,13.06,0.2,52.24,34.39,17.85
0RD00004264,12/28/2024,P0155,S008,C016123,5,9.68,0.15,41.14,21.43,19.71
0RD00004310,12/19/2024,P0055,S047,C039579,4,11.25,0,45,23.93,21.07
0RD00004317,12/31/2024,P0165,S035,C011923,4,6.35,0.2,20.32,11.29,9.03
0RD00004336,12/26/2024,P0067,S045,C018888,4,8.86,0.2,28.35,19.44,8.91
0RD00004354,12/21/2024,P0144,S096,C037452,1,6.55,0,6.55,3.66,2.89
0RD00004357,12/27/2024,P0135,S060,C028034,3,8.25,0,24.75,16.7,8.05
0RD00004364,12/17/2024,P0152,S071,C039087,4,13.32,0.1,47.95,31.41,16.55
0RD00004402,12/29/2024,P0160,S013,C001971,2,8.27,0,16.54,8.31,8.23
0RD00004418,12/2/2024,P0082,S099,C027200,2,13.98,0,27.96,18.67,9.29
0RD00004452,12/9/2024,P0091,S039,C015278,4,9.03,0,36.12,21.74,14.38
0RD00004462,12/31/2024,P0062,S056,C031529,4,13.73,0.1,49.43,29.66,19.77
0RD00004540,12/12/2024,P0126,S048,C044780,2,4.4,0,8.8,5.17,3.63
0RD00004583,12/5/2024,P0153,S021,C027199,4,14.27,0.15,48.52,27.82,20.7
0RD00004585,12/15/2024,P0078,S027,C029789,5,8.55,0,42.75,23.2,19.55
0RD00004586,12/6/2024,P0056,S023,C039891,4,7.5,0.15,25.5,17.39,8.11
0RD00004591,12/7/2024,P0044,S083,C015677,4,3.09,0.2,9.89,6.86,3.03
0RD00004624,12/23/2024,P0033,S079,C031458,3,5.19,0.15,13.23,7.05,6.18
0RD00004639,12/3/2024,P0104,S094,C014937,4,4.12,0,16.48,11.08,5.4
0RD00004669,12/15/2024,P0024,S080,C031008,2,12.48,0.2,19.97,13.15,6.82
0RD00004684,12/26/2024,P0133,S087,C005519,4,12.57,0,50.28,26.36,23.92
0RD00004763,12/19/2024,P0013,S020,C034762,5,4.88,0.2,19.52,12.79,6.73
0RD00004773,12/28/2024,P0061,S045,C007871,5,3.21,0,16.05,9.49,6.56
0RD00004778,12/19/2024,P0107,S035,C044691,4,11.56,0,46.24,27.19,19.05
0RD00004788,12/27/2024,P0119,S012,C005802,5,9.11,0,45.55,29.56,15.99
0RD00004802,12/19/2024,P0066,S014,C042964,3,5.98,0.15,15.25,9.05,6.2
0RD00004821,12/25/2024,P0172,S050,C034522,1,8.96,0,8.96,5.8,3.16
0RD00004870,12/3/2024,P0161,S006,C015531,1,10.04,0,10.04,6.28,3.76
0RD00004886,12/28/2024,P0100,S041,C021295,3,12.78,0,38.34,24.26,14.08
0RD00004889,12/12/2024,P0097,S096,C020507,3,11.52,0,34.56,24.16,10.4
0RD00004906,12/4/2024,P0093,S083,C014105,2,7.45,0,14.9,7.87,7.03
0RD00004932,12/28/2024,P0009,S071,C041574,4,6.29,0,25.16,14.42,10.74
0RD00004961,12/30/2024,P0169,S038,C000277,4,14,0.2,44.8,26.25,18.55
0RD00004977,12/5/2024,P0161,S041,C025141,1,11.46,0,11.46,6.37,5.09
0RD00004985,12/22/2024,P0163,S043,C049144,2,11.57,0.2,18.51,9.87,8.64
0RD00004997,12/31/2024,P0095,S014,C010798,3,7.8,0.15,19.89,13.72,6.17
0RD00005002,12/19/2024,P0009,S054,C004091,1,9.07,0.1,8.16,5.7,2.46
0RD00005005,12/9/2024,P0111,S097,C027960,1,7.8,0.1,7.02,4.11,2.91
0RD00005041,12/17/2024,P0100,S096,C039942,1,6.79,0,6.79,4.01,2.78
0RD00005067,12/26/2024,P0154,S002,C006421,1,4.22,0.1,3.8,2.27,1.53
0RD00005108,12/21/2024,P0197,S033,C039193,3,13.79,0.15,35.16,19.85,15.31
0RD00005134,12/8/2024,P0147,S079,C008386,5,8.59,0.15,36.51,23.2,13.31
0RD00005139,12/5/2024,P0041,S099,C002398,3,10.09,0.1,27.24,13.68,13.56
0RD00005148,12/14/2024,P0089,S019,C002064,2,4.7,0,9.4,6.17,3.23
0RD00005198,12/4/2024,P0135,S097,C028160,5,4.25,0.15,18.06,10.22,7.84
0RD00005212,12/19/2024,P0009,S008,C028879,5,9.76,0,48.8,33.71,15.09
0RD00005224,12/15/2024,P0099,S093,C045776,2,6.54,0,13.08,7.1,5.98
0RD00005226,12/22/2024,P0073,S074,C003216,4,4.59,0,18.36,9.89,8.47
0RD00005337,12/24/2024,P0111,S094,C007557,5,10.07,0,50.35,28.53,21.82
0RD00005338,12/26/2024,P0128,S012,C035564,5,13.77,0,68.85,40.53,28.32
0RD00005350,12/23/2024,P0133,S062,C033902,3,6.9,0,20.7,11.31,9.39
0RD00005355,12/24/2024,P0072,S002,C029516,3,6.17,0,18.51,11.13,7.38
0RD00005367,12/31/2024,P0063,S028,C014864,2,14.14,0,28.28,18.19,10.09
0RD00005373,12/24/2024,P0051,S017,C003474,2,9.97,0,19.94,11.92,8.02
0RD00005381,12/29/2024,P0133,S073,C025244,4,6.57,0,26.28,15.5,10.78
0RD00005408,12/13/2024,P0151,S080,C016496,5,6.91,0,34.55,21.45,13.1
0RD00005426,12/31/2024,P0170,S024,C011169,5,14.6,0.15,62.05,32.64,29.41
0RD00005427,12/27/2024,P0058,S055,C041767,2,12.8,0,25.6,15.62,9.98
0RD00005454,12/8/2024,P0013,S029,C036241,5,5.4,0,27,13.75,13.25
0RD00005457,12/8/2024,P0164,S024,C006758,4,12.93,0,51.72,35.29,16.43
0RD00005487,12/7/2024,P0201,S058,C021379,5,10.29,0,51.45,27.78,23.67
0RD00005502,12/14/2024,P0200,S100,C040811,1,6.01,0,6.01,3.69,2.32
0RD00005514,12/28/2024,P0007,S028,C046143,3,5.91,0.1,15.96,10.88,5.07
0RD00005528,12/21/2024,P0101,S042,C030751,5,11.75,0,58.75,39.27,19.48
0RD00005555,12/30/2024,P0179,S025,C023808,1,12.85,0,12.85,7.54,5.31
0RD00005557,12/17/2024,P0132,S033,C018202,3,13.8,0.1,37.26,23.23,14.03
0RD00005576,12/25/2024,P0128,S058,C016093,3,7.6,0,22.8,13.4,9.4
0RD00005597,12/17/2024,P0025,S007,C021226,3,14.14,0,42.42,28.56,13.86
0RD00005652,12/21/2024,P0047,S015,C027023,1,11.92,0,11.92,7.21,4.71
0RD00005680,12/8/2024,P0100,S057,C029048,4,4.6,0.1,16.56,10.02,6.54
0RD00005750,12/14/2024,P0048,S067,C042715,2,9.81,0,19.62,11.77,7.85
0RD00005767,12/26/2024,P0010,S048,C035324,5,3.76,0,18.8,10.98,7.82
0RD00005770,12/19/2024,P0129,S050,C005886,4,8.13,0,32.52,17.19,15.33
0RD00005864,12/21/2024,P0075,S023,C035903,5,5.27,0.2,21.08,13.17,7.91
0RD00005878,12/7/2024,P0160,S037,C047226,3,6.86,0.1,18.52,10.08,8.44
0RD00005962,12/7/2024,P0043,S010,C007760,2,7.48,0.2,11.97,7.02,4.95
0RD00005981,12/2/2024,P0185,S035,C002511,2,7.17,0,14.34,8.27,6.07
0RD00005986,12/14/2024,P0072,S066,C021169,2,12.57,0.1,22.63,15.09,7.53
0RD00005992,12/14/2024,P0111,S078,C027566,4,13.03,0,52.12,32.15,19.97
0RD00006005,12/25/2024,P0144,S069,C016162,1,3.16,0,3.16,2.15,1.01
0RD00006021,12/24/2024,P0064,S018,C048640,3,13.75,0.2,33,19.27,13.73
0RD00006060,12/27/2024,P0024,S079,C002736,3,3.77,0,11.31,5.8,5.51
0RD00006093,12/19/2024,P0069,S093,C033611,5,9.76,0.15,41.48,28.51,12.97
0RD00006122,12/17/2024,P0127,S054,C045873,5,6.36,0,31.8,16.9,14.9
0RD00006126,12/14/2024,P0070,S059,C014135,4,5.96,0,23.84,14.11,9.73
0RD00006162,12/1/2024,P0059,S061,C011998,3,10.53,0,31.59,18.04,13.55
0RD00006261,12/4/2024,P0149,S056,C017849,3,14.1,0,42.3,21.22,21.08
0RD00006271,12/16/2024,P0116,S089,C011838,1,10.12,0.2,8.1,4.32,3.78
0RD00006307,12/22/2024,P0034,S023,C012659,4,6.91,0,27.64,16.88,10.76
0RD00006308,12/30/2024,P0148,S067,C039671,2,10.69,0,21.38,11.21,10.17
0RD00006375,12/16/2024,P0069,S008,C045577,5,14.08,0,70.4,37.31,33.09
0RD00006407,12/16/2024,P0033,S057,C043040,3,10.55,0,31.65,16.08,15.57
0RD00006413,12/14/2024,P0164,S042,C006779,1,12.77,0,12.77,7.24,5.53
0RD00006433,12/31/2024,P0033,S032,C042123,2,10.57,0.2,16.91,9.39,7.53
0RD00006469,12/31/2024,P0131,S066,C040772,5,9.1,0,45.5,26.25,19.25
0RD00006492,12/8/2024,P0195,S045,C043670,3,5.99,0,17.97,12.12,5.85
0RD00006572,12/7/2024,P0104,S086,C017416,5,13.02,0.15,55.33,28.48,26.86
0RD00006638,12/6/2024,P0175,S047,C000932,3,13.5,0,40.5,20.49,20.01
0RD00006644,12/19/2024,P0170,S004,C023046,1,11.94,0,11.94,6.98,4.96
0RD00006657,12/25/2024,P0097,S046,C034093,2,4.55,0,9.1,5.39,3.71
0RD00006664,12/13/2024,P0138,S071,C042076,5,10.47,0,52.35,36.37,15.98
0RD00006693,12/15/2024,P0096,S088,C037325,3,9.3,0,27.9,17.42,10.48
0RD00006706,12/21/2024,P0015,S056,C037948,4,9.01,0,36.04,23.29,12.75
0RD00006715,12/30/2024,P0014,S043,C006390,4,11.66,0,46.64,32.45,14.19
0RD00006717,12/14/2024,P0101,S094,C026992,1,13.55,0,13.55,9.15,4.4
0RD00006727,12/26/2024,P0172,S073,C029470,2,9.99,0,19.98,12.03,7.95
0RD00006759,12/21/2024,P0133,S036,C005644,1,13.2,0.2,10.56,7.1,3.46
0RD00006760,12/16/2024,P0124,S038,C018791,1,11.79,0.1,10.61,6.39,4.22
0RD00006770,12/30/2024,P0073,S082,C041132,1,7.32,0,7.32,4.01,3.31
0RD00006826,12/2/2024,P0147,S020,C043108,4,14.12,0,56.48,31.12,25.36
0RD00006834,12/8/2024,P0104,S026,C018951,5,8.39,0,41.95,23.31,18.64
0RD00006842,12/16/2024,P0067,S063,C019459,4,7.36,0,29.44,20.28,9.16
0RD00006880,12/1/2024,P0082,S064,C046875,2,5,0,10,5.86,4.14
0RD00006885,12/16/2024,P0118,S031,C033407,2,14.08,0,28.16,15.84,12.32
0RD00006897,12/30/2024,P0076,S048,C016131,5,5.29,0,26.45,14.78,11.67
0RD00006933,12/10/2024,P0053,S050,C015909,5,8.5,0,42.5,26.92,15.58
0RD00006986,12/16/2024,P0032,S002,C007028,4,6.91,0.15,23.49,13.56,9.93
0RD00007007,12/20/2024,P0095,S097,C041860,4,10.4,0.2,33.28,21.92,11.36
0RD00007061,12/15/2024,P0093,S079,C025480,5,7,0,35,22.79,12.21
0RD00007071,12/29/2024,P0119,S030,C008815,5,14.38,0,71.9,40.78,31.12
0RD00007082,12/19/2024,P0148,S067,C040798,3,6.55,0.1,17.68,10.3,7.38
0RD00007095,12/24/2024,P0038,S025,C003055,3,11.31,0,33.93,21.41,12.52
0RD00007118,12/3/2024,P0108,S028,C009114,2,12.83,0,25.66,15.01,10.65
0RD00007167,12/17/2024,P0178,S070,C025578,3,5.77,0.1,15.58,9.07,6.51
0RD00007176,12/23/2024,P0131,S043,C027835,2,13.27,0,26.54,17.77,8.77
0RD00007208,12/1/2024,P0091,S023,C029704,2,10.47,0,20.94,11.89,9.05
0RD00007227,12/22/2024,P0150,S015,C025225,5,8.14,0.2,32.56,16.91,15.65
0RD00007233,12/17/2024,P0065,S046,C039003,2,14.98,0.2,23.97,15.46,8.51
0RD00007234,12/13/2024,P0134,S093,C000820,3,3.16,0,9.48,6.1,3.38
